abandon,porzucić
ability,umiejętność
able,zdolny
abortion,poronienie
about,o
above,powyżej
abroad,za granicą
absence,brak
absolute,absolutny
absolutely,absolutnie
absorb,absorbować
abuse,nadużycie
academic,akademicki
accept,zaakceptować
access,dostęp
accident,wypadek
accompany,towarzyszyć
accomplish,ukończyć
according,według
account,konto
accurate,dokładny
accuse,oskarżać
achieve,osiągać
achievement,osiągnięcie
acid,kwas
acknowledge,uznać
acquire,nabyć
across,przez
act,działać
action,akcja
active,aktywny
activist,aktywista
activity,czynność
actor,aktor
actress,aktorka
actual,rzeczywisty
actually,tak właściwie
ad,ogłoszenie
adapt,przystosować się
add,Dodaj
addition,dodanie
additional,dodatkowy
address,adres
adequate,odpowiedni
adjust,dostosować
adjustment,dostosowanie
administration,administracja
administrator,administrator
admire,podziwiać
admission,wstęp
admit,przyznać
adolescent,dorastający
adopt,przyjąć
adult,dorosły
advance,postęp
advanced,zaawansowane
advantage,korzyść
adventure,przygoda
advertising,reklama
advice,Rada
advise,doradzać
adviser,doradca
advocate,rzecznik
affair,sprawa
affect,oddziaływać
afford,pozwolić sobie
afraid,przestraszony
African,afrykanin
African-American,Afroamerykański
after,po
afternoon,popołudnie
again,jeszcze raz
against,przeciwko
age,wiek
agency,agencja
agenda,program
agent,agent
aggressive,agresywny
ago,temu
agree,Zgodzić się
agreement,umowa
agricultural,rolniczy
ah,ah
ahead,przed siebie
aid,pomoc
aide,doradca
AIDS,AIDS
aim,cel
air,powietrze
aircraft,samolot
airline,linia lotnicza
airport,Lotnisko
album,album
alcohol,alkohol
alive,żywy
all,wszystko
alliance,Sojusz
allow,dopuszczać
ally,sprzymierzyć
almost,prawie
alone,sam
along,wzdłuż
already,już
also,również
alter,zmieniać
alternative,alternatywny
although,mimo że
always,zawsze
AM,RANO
amazing,niesamowity
American,amerykański
among,pośród
amount,ilość
analysis,analiza
analyst,analityk
analyze,analizować
ancient,starożytny
and,i
anger,gniew
angle,kąt
angry,zły
animal,zwierzę
anniversary,rocznica
announce,ogłosić
annual,roczny
another,inne
answer,odpowiedź
anticipate,przewidywać
anxiety,niepokój
any,każdy
anybody,ktoś
anymore,już
anyone,ktoś
anything,byle co
anyway,tak czy inaczej
anywhere,gdziekolwiek
apart,niezależnie
apartment,apartament
apparent,pozorny
apparently,widocznie
appeal,apel
appear,zjawić się
appearance,wygląd
apple,jabłko
application,podanie
apply,zastosować
appoint,wyznaczać
appointment,spotkanie
appreciate,doceniać
approach,podejście
appropriate,właściwy
approval,zatwierdzenie
approve,zatwierdzać
approximately,w przybliżeniu
Arab,Arab
architect,architekt
area,powierzchnia
argue,kłócić się
argument,argument
arise,powstać
arm,ramię
armed,uzbrojony
army,armia
around,na około
arrange,zorganizować
arrangement,układ
arrest,aresztować
arrival,przyjazd
arrive,przybyć
art,sztuka
article,artykuł
artist,artysta
artistic,artystyczny
as,tak jak
Asian,Azjatycki
aside,na bok
ask,zapytać
asleep,we śnie
aspect,aspekt
assault,atak
assert,zapewniać
assess,oszacować
assessment,oszacowanie
asset,kapitał
assign,przydzielać
assignment,zadanie
assist,wspierać
assistance,wsparcie
assistant,asystent
associate,współpracownik
association,stowarzyszenie
assume,założyć
assumption,założenie
assure,gwarantować
at,w
athlete,sportowiec
athletic,atletyczny
atmosphere,atmosfera
attach,dołączać
attack,atak
attempt,próba
attend,uczęszczać
attention,Uwaga
attitude,postawa
