different,różne
used,używany
important,ważny
every,każdy
large,duży
available,dostępny
popular,popularny
able,zdolny
basic,podstawowy
known,znany
various,różnorodny
difficult,trudny
several,kilka
united,zjednoczony
historical,historyczny
hot,gorąco
useful,przydatny
mental,psychiczny
scared,przerażony
additional,dodatkowy
emotional,emocjonalny
old,stary
political,polityczny
similar,podobny
healthy,zdrowy
financial,budżetowy
medical,medyczny
traditional,tradycyjny
federal,federalny
entire,Cały
strong,silny
actual,rzeczywisty
significant,znaczący
successful,odnoszący sukcesy
electrical,elektryczny
expensive,kosztowny
pregnant,w ciąży
intelligent,inteligentny
interesting,ciekawy
poor,ubogi
happy,szczęśliwy
responsible,odpowiedzialny
cute,uroczy
helpful,pomocny
recent,niedawny
willing,skłonny
nice,miły
wonderful,wspaniale
impossible,niemożliwy
serious,poważny
huge,olbrzymi
rare,rzadko spotykany
technical,techniczny
typical,typowy
competitive,konkurencyjny
critical,krytyczny
electronic,elektroniczny
immediate,natychmiastowy
aware,świadomy
educational,edukacyjny
environmental,środowiskowy
global,światowy
legal,prawny
relevant,istotnych
accurate,dokładny
capable,zdolny
dangerous,niebezpieczny
dramatic,dramatyczny
efficient,wydajny
powerful,potężny
foreign,obcy
hungry,głodny
practical,praktyczny
psychological,psychologiczny
severe,silny
suitable,odpowiedni
numerous,liczny
sufficient,wystarczający
unusual,niezwykły
consistent,zgodny
cultural,kulturalny
existing,istniejący
famous,sławny
pure,czysty
afraid,przestraszony
obvious,oczywisty
careful,ostrożny
latter,drugi
unhappy,nieszczęśliwy
acceptable,do przyjęcia
aggressive,agresywny
boring,nudny
distinct,odrębny
eastern,wschodni
logical,logiczny
reasonable,rozsądny
strict,ścisły
administrative,Administracyjny
automatic,automatyczny
civil,cywilny
former,były
massive,masywny
southern,południowy
unfair,niesprawiedliwy
visible,widoczny
alive,żywy
angry,zły
desperate,zdesperowany
exciting,ekscytujący
friendly,przyjazny
lucky,Szczęściarz
realistic,realistyczny
sorry,Przepraszam
ugly,brzydki
unlikely,mało prawdopodobne
anxious,niespokojny
comprehensive,wszechstronny
curious,ciekawy
impressive,imponujący
informal,nieformalny
inner,wewnętrzny
pleasant,przyjemne
sexual,seksualny
sudden,nagły
terrible,straszny
unable,niezdolny
weak,słaby
wooden,drewniany
asleep,we śnie
confident,pewni
conscious,przytomny
decent,przyzwoity
embarrassed,Zakłopotany
guilty,winny
lonely,samotny
mad,szalony
nervous,nerwowy
odd,dziwny
remarkable,znakomity
substantial,znaczny
suspicious,podejrzany
tall,wysoki
tiny,malutki
