At the moment Johnny is browsing through internet and looking for the best flight deals,Aktualnie Johhny przeszukuje internet w poszukiwaniu najlepszej oferty lotu
I used to play violin when I was a kid,Gralem na skrzypcach gdy bylem dzieckiem
There was a picture of an exotic place and in the picturethere was a short text Travel for free and help the world,Bylo tam zdjecie egzotycznego miejsca a na zdjeciu byl tekst Podrozuj za darmo i pomagaj swiatu
Johnny is going to have the best time of his of his life,Johnny zamierza miec najlepszy czas w swoim zyciu
I had watched a film before you showed it to me,Obejrzalem film nim mi go pokazales
She has been waiting for him for 2 hours,Ona czeka na niego od 2 godzin wciaz
He is pretty sure he will have visited all the countries in the world by the time he settles down and has a family,On jest calkiem pewny ze odwiedzi wszystkie kraje na swiecie nim sie ustatkuje i zalozy rodzine
What time does the conference finish?,O ktorej konczy sie konferencja?
Before I came back home I had spend 2 hours in a fitness center My friends and I drank cafe latte after we had done all fitness exercises with the group,Zanim wrocilem do domu spedzilem dwie godziny na fitness Moi znajomi i ja wypilismy kawe po tym jak skonczylismy wszystkie cwiczenia z grupa
Will you have been playing basketball for 3 hours by 10pm?,Czy ty bedziesz gral w basket przez 3 godziny przez 22?
He's always coming late!,On zawsze się spoznia
I have been watching a film for 5 hours now,Ogladam film od 5 godzin
I was thinking about it,Myslalem o tym
My friends never smoke cigarettes,Moi przyjeciele nigdy nie pala papierosow
I have learnt to play tennis,Nauczylem sie grac w tenisa (osiagniecie)
What are you going to do?,Co zamierzasz zrobic?
It was supposed to be a very different night,To miala byc zupelnie inna noc
I have cooked dinner,Ugotowałem obiad(i jest)
I'm reading a fascinating book,Jestem w trakcie czytania fascynujacej ksiazki
I will be watching a film tomorrow at 6 am,Bede ogladal film jutro o 6 rano
How long have you two been together?,Jak dlugo wy dwoje jestescie ze soba?
I have been playing squash I'm out of breath now,Gralem w squasha Nie moge teraz zlapac tchu
This has been going on for many years,To trwa od wielu lat
I hope he will be back soon,Mam nadzieje ze wkrotce wroci
Im going to buy a new computer,Zamierzam kupic nowy komputer xxx niezaplanowane
She has just got back home,Wlasnie wrocila do domu
When he arrived I had already cooked a dinner,Kiedy przyjechal juz ugotowalam obiad
Who do you like to listen to?,kogo lubisz sluchac?
By the time she finished her studies in Barcelona She had live there for 5 years,Przed tym jak ukoczyla studia w Barcelonie mieszkala tam juz od 5 lat
I will have watched a film by the end of the month,Obejrze ten film przed koncem miesiaca
I'm sure you will get that job@,Jestem pewien ze dostaniesz te prace
What kind of music do you listen to?,Jakiego rodzaju muzyki sluchasz?
How long has it been?,Jak dlugo to trwa? ma miejsce?
My mum wouldnt have married my dad If she had known the truth about his family,mama nie poslubila by mojego taty(ale poslubila) gdyby znala prawde o jego rodzinie(wtedy w przeszlosci ale nie znala) Gdy chcesz powiedziec co bys zrobil gdyby cos innego wydarzylo sie w przeszlosci Trzeci okres warunkowy Gdybanie o wszystkim co wydarzylo sie w przeszlosci
While he was driving a car She was looking at the map and making sure they were going in the right direction,Gdy on prowadzil samochod ona patrzyla na mape i upewniala sie ze jade we wlasciwym kierunku
I have never been to Portugal,Nigdy nie bylem w Portugali
Before he started to live in a big city He has always dreamt of setting off on a journey around the world,Zanim zaczal zyc w wielkim miescie on zawsze marzyl o wyruszeniu w podroz dookola swiata
They meet in a park and fall in love at first sight He proposes to her and they live happily ever after,Oni spotykaja sie w parku i zakochuja od pierwszego wejrzenia On oswiadcza sie jej i zyja dlugo szczesliwie po tym
Where you reading a book at that time?,Czy czytales ksiazke w tym czasie?
Where did you use to buy food?,Gdzie kiedys zwykles kupowac jedzenie?
He is not gonna listen to her,On nie zamierza jej sluchac
He has just left home,Wlasnie wyszedl z domu
Tell me about something that you have been doing for the last year,Powiedz mi o czyms co robisz nieprzerwanie od zeszlego roku
This time next month he will be sitting on the plane and waiting for takeIoff to Bangkok,Za miesiac o tej porze on bedzie siedzial w samolocie i czekal na wylot do Bangkoku
I'm saving money for my new house at present,Obecnie jestem w trakcie oszczedzania pieniedzy na moj nowy dom
I met him at the shopping mall yesterday,Spotkalem go wczoraj w galerii handlowej
When he came back home I knew that he had been drinking He was drunk,Kiedy wrocil do domu wiedzialem ze pil On byl pijany
How many countries will you have visited before you come back home?,Ile krajow odwiedzisz zanim wrocisz do domu?
She has been waiting for him for ages,Czeka na niego od wiekow Lekkie zdenerwowanie
After she had finished her work she went to lunch,Po tym jak skonczyla swoja prace poszla na lunch
Have you completed your task yet?,Czy skonczyles twoje zadanie juz?
I am watching a film now,Wlasnie ogladam film
Next weekend he will be setting off on our holiday,W nastepny weekend on bedzie wyruszal na nasze wakacje
By 10pm they had gone to bed,Oni polozyli sie spac przed godzina dziesiata (wczoraj)
What don't you do every day?,Czego nie robisz codziennie?
Our plane lands at 5pm at JFK airport in NY,Nasz samolot laduje o 5 po poludniu na lotnisku JFK w NY
The Wisla river flows through Krakow,Wisla przeplywa przez Krakow
I will have been cleaning my kitchen for 3 hours before my husbend comes back home,Bede sprzatac kuchnie przez 3 godziny nim moj maz wroci do domu
Where did you get this?,Gdzie to dostales Skad to masz?
I made a friend today,Poznalem dzis przyjaciela
Im going to travel to Brazil,Zamierzam podrozowac do Brazylii
When he was a young kid He watched a film about a boy whose dreams came true,Kiedy byl dzieckiem on obejrzal film o chlopcu ktoremu spelnily sie marzenia
I watch a film every day,Ogladam film codziennie
Did you see that?,widzialas to??
I'm afraid they will win the elections,Obawiam sie ze wygraja wybory
Before I bought my house I had been saving my money for 10 years,Zanim kupilem dom oszczedzalem pieniadze przez 10 lat
I haven't talked to her in over a month,Nie odzywalem sie do niej przez ponad miesiac
Im going to the cinema,Ide do kina xxx zaplanowane
I lost my keys Boy It was terrible,Zgubilem moje klucze wczoraj Rety to bylo okropne(znalazlem wczoraj)
How long have you worked or have you been working for this company?,Jak dlugo pracujesz dla tej firmy?
These days xx nowadays xx he is planning his wedding,Aktualnie on planuje swoj slub
What are you working on?,Nad czym pracujesz w tej chwili?
I had been watching a film for 5 hours before you got back home,Ogladalem film przez 5 godzin nim wrociles do domu
I wasnt reading a book at that time,Nie czytalem ksiazki w tym czasie
He is moving out of the parents house,On wyprowadza sie z domu rodzicow xxx zaplanowane
At 4pm I was picking up garbage from the street,o 16 podnosilem smieci z ulicy
He is not a millionaire yet He works at Starbucks and he serves coffee to people who come to visit he belives in his dream thoiugh,On nie jest milionerem jeszcze Pracuje w Stabucks i serwuje kawe ludziom ktorzy przyszli odwiedzic jednakze wierzy w swoj sen
He used to watch the same film over and over again,Ogladal ten sam film non stop kiedys
I will have had two cups of coffee by noon,Do poludnia wypije dwie kawy
How did you find this blog?,Jak znalazles ten blog?
When he came back home I knew that he had been smoking I could smell the cigarette,Kiedy wrocil do domu wiedzialem ze palil Moglem poczuc zapach papierosow
What time do you start work tomorrow?,O ktorej zaczynasz jutro prace?
I have done a 5 mile hike,Zrobiłem 5 milowa wedrowke
Tomorrow morning I will be waitng for you to give a gift to you,Jutro rano bede czekal na ciebie by dac ci prezent
Before they started painting walls they had been dwelling on the right colour,Zanim zaczeli malowac sciany zastanawiali sie nad prawidlowym kolorem
How long had you been living with your parents before you decided to move out?,Jak dlugo mieszkales z rodzicami zanim zdecydowales sie wyprowadzic
Before he started preparing his plan He had been dwelling on his trip for a quite a long time,Zanim zaczal przygotowywac swoj plan rozmyslal nad wycieczka przez dlugi czas
